group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
airlight_beta_bin,0.65<=A<0.75 | 0.8<=beta<1.1,31,13,18,12,16,33.53232571692219,33.48317426720019,-0.049151449721990856,-0.3048918222657271,-1.6985310781768135,2.0566973907139143,-2.9656511088825965,4.664992159836558,-0.00019429576012396042
airlight_beta_bin,0.65<=A<0.75 | 1.1<=beta<1.4,39,28,11,18,9,31.851230387220475,32.1557719115719,0.3045415243514232,0.2482719644721385,-0.9992670905709082,1.3858679553653441,-1.8813863959963086,2.076321824882754,-0.00029413363872430264
airlight_beta_bin,0.65<=A<0.75 | 1.4<=beta<1.7,40,16,24,12,22,31.887569101384933,31.68218881495226,-0.20538028643268094,-0.3850711879826285,-2.5630352174811284,1.4556535183339954,-3.7730412078126108,4.8508390931855985,-0.0004344254732131958
airlight_beta_bin,0.65<=A<0.75 | beta<0.8,42,25,17,22,15,35.243343349985494,35.40276756868025,0.15942421869475948,0.5620857116042224,-2.613975078117176,2.2294079335734978,-4.445411310743488,3.120089676379699,0.000744480462301345
airlight_beta_bin,0.65<=A<0.75 | beta>=1.7,42,20,22,14,20,30.199351587279818,30.00575556133892,-0.19359602594090625,-0.17512136374042697,-1.926131433220817,1.2982341955283707,-3.246951389913061,4.745892390261794,0.00015722569965180897
airlight_beta_bin,0.75<=A<0.85 | 0.8<=beta<1.1,44,20,24,17,18,33.07243436272097,33.044188715621196,-0.02824564709977836,-0.11097823569356358,-1.4500033175527807,1.2180269802320256,-2.8742636609921703,2.8053305129661297,-6.363608620383523e-05
airlight_beta_bin,0.75<=A<0.85 | 1.1<=beta<1.4,36,14,22,11,17,32.09983713385889,31.708728023793,-0.3911091100658903,-0.2622190047401922,-2.500364933927276,1.2575079193995329,-3.8040348435862583,4.115991462530232,-0.0011840114990870159
airlight_beta_bin,0.75<=A<0.85 | 1.4<=beta<1.7,37,19,18,12,13,30.69863283090009,30.581851432190728,-0.11678139870936569,0.10689164351446578,-1.5971401227654938,0.9767150186614081,-2.7615786447577264,3.7093893469821353,-0.0010946151372548695
airlight_beta_bin,0.75<=A<0.85 | beta<0.8,44,23,21,19,14,35.357341313286796,35.39792225692985,0.04058094364305618,0.16720878826451369,-1.8141536858692633,1.595066278841666,-3.2638550339793824,3.0355386193944724,0.0005651373754848133
airlight_beta_bin,0.75<=A<0.85 | beta>=1.7,49,19,30,18,26,30.973010779562518,30.82108596692947,-0.15192481263304486,-0.3640412655983205,-1.8287024141639163,1.552210919669958,-4.455968151679716,4.176547163155675,-0.0017333432119719836
airlight_beta_bin,0.85<=A<0.95 | 0.8<=beta<1.1,27,15,12,12,10,31.786740215912157,31.799207355165574,0.01246713925341891,0.1655052696909678,-1.7544208111231612,1.5007659294816031,-3.3493681677361593,2.5166713337495956,0.0007802314228481717
airlight_beta_bin,0.85<=A<0.95 | 1.1<=beta<1.4,27,16,11,13,11,31.04619885069564,31.17065890561659,0.12446005492095515,0.29822669791278145,-1.9475979403597066,2.2287424539411815,-2.3363210419543563,3.9456512831687007,-0.00010778727354826751
airlight_beta_bin,0.85<=A<0.95 | 1.4<=beta<1.7,46,20,26,15,22,31.21389921247087,31.165289070194316,-0.048610142276554635,-0.21660649889084382,-1.6227420329777704,1.2779147964210118,-1.9471781519325653,3.0460554962324053,-0.00042192573132722276
airlight_beta_bin,0.85<=A<0.95 | beta<0.8,36,14,22,12,17,33.18916354427482,33.23522031525488,0.04605677098006181,-0.23901622869812655,-1.6412626982827092,1.99571247315777,-2.691258071006118,4.280082206087229,-0.00027245945400661894
airlight_beta_bin,0.85<=A<0.95 | beta>=1.7,39,25,14,20,12,29.747093591827397,29.93302180416161,0.18592821233420545,0.3256493687346662,-1.3425288454469224,1.8271742311742956,-3.667039481270873,2.5882926382558935,0.0012074128175393129
