target_margin,feature_set,head,split_family,split_group,splits,eligible_for_pass,intervention_precision_mean,intervention_precision_std,nochange_false_intervention_rate_mean,nochange_false_intervention_rate_std,strong_nochange_false_intervention_rate_mean,strong_nochange_false_intervention_rate_std,residual_low_false_intervention_rate_mean,residual_low_false_intervention_rate_std,mean_oracle_gated_gain_mean,mean_oracle_gated_gain_std,bootstrap_gain_p05_mean,bootstrap_gain_p05_std,oracle_recovery_mean,oracle_recovery_std,confidence_corr_mean,confidence_corr_std,intervention_rate_mean,intervention_rate_std,labeled_n_mean,labeled_n_std,ignored_n_mean,ignored_n_std,sim_delta_vs_official_mean,sim_delta_vs_official_std,precision_gap_vs_shuffled,passes_line
0.15,A_official_output,hgb,random,random,3,1,0.6469906095411903,0.025165394521517923,0.6865546218487394,0.04971653438802668,0.5643274853801169,0.07315787136372398,0.8169234720082178,0.0345252664295645,0.643299474999676,0.08532458501912153,0.5142016708135984,0.08436542664954949,0.9115997668067765,0.02911109651409305,0.4750045892202979,0.037403033421947035,0.848,0.014236104336041762,233.66666666666666,2.8674417556808756,16.333333333333332,2.8674417556808756,0.643299474999676,0.08532458501912153,0.04120536041200662,False
0.15,A_official_output,hgb,residual_energy_bin,residual_energy_bin=residual_high_q4,1,1,0.5342465753424658,0.0,0.8869565217391304,0.0,1.0,0.0,0.0,0.0,0.7653416533132904,0.0,0.5901442092044641,0.0,0.8881432777800184,0.0,0.3546943303763605,0.0,0.944,0.0,232.0,0.0,18.0,0.0,0.7653416533132904,0.0,0.016547460298217964,False
0.15,A_official_output,hgb,residual_energy_bin,residual_energy_bin=residual_low_q1,1,1,0.6649214659685864,0.0,0.6808510638297872,0.0,0.6617647058823529,0.0,0.844,0.0,0.38058953930190365,0.0,0.3086862708648387,0.0,0.8859517550867289,0.0,0.436002678125749,0.0,0.844,0.0,225.0,0.0,25.0,0.0,0.38058953930190365,0.0,0.044231810796172555,False
0.15,A_official_output,hgb,residual_energy_bin,residual_energy_bin=residual_midhigh_q3,1,1,0.6683417085427136,0.0,0.6407766990291263,0.0,0.5,0.0,0.0,0.0,0.70611526557127,0.0,0.5907080262565275,0.0,0.9137388660273281,0.0,0.4116908442848245,0.0,0.824,0.0,242.0,0.0,8.0,0.0,0.70611526557127,0.0,0.026832274580449456,False
0.15,A_official_output,hgb,residual_energy_bin,residual_energy_bin=residual_midlow_q2,1,1,0.6515151515151515,0.0,0.696969696969697,0.0,0.5263157894736842,0.0,0.0,0.0,0.43371886861054093,0.0,0.35732518074564235,0.0,0.8346692681758884,0.0,0.4732617244682269,0.0,0.836,0.0,235.0,0.0,15.0,0.0,0.43371886861054093,0.0,0.044038516001132844,False
0.15,A_output_plus_meta,hgb,airlight_bin,airlight_bin=0.65<=A<0.75,1,1,0.6,0.0,0.7294117647058823,0.0,0.6666666666666666,0.0,0.8392857142857143,0.0,0.5007958950470128,0.0,0.3767106118166233,0.0,0.8675864485689956,0.0,0.40222045072610096,0.0,0.8556701030927835,0.0,182.0,0.0,12.0,0.0,0.5007958950470128,0.0,0.038596491228070184,False
0.15,A_output_plus_meta,hgb,airlight_bin,airlight_bin=0.75<=A<0.85,1,1,0.7207792207792207,0.0,0.5512820512820513,0.0,0.5,0.0,0.8148148148148148,0.0,0.5434055406466695,0.0,0.4480504602688555,0.0,0.9049910262707361,0.0,0.5734642084337968,0.0,0.780952380952381,0.0,196.0,0.0,14.0,0.0,0.5434055406466695,0.0,0.050120538144490245,False
0.15,A_output_plus_meta,hgb,airlight_bin,airlight_bin=0.85<=A<0.95,1,1,0.5895522388059702,0.0,0.7051282051282052,0.0,0.8571428571428571,0.0,0.875,0.0,0.5028614737438069,0.0,0.38113349351564524,0.0,0.900493053715462,0.0,0.493735369091807,0.0,0.8342857142857143,0.0,159.0,0.0,16.0,0.0,0.5028614737438069,0.0,0.03782810087493571,False
0.15,A_output_plus_meta,hgb,airlight_bin,airlight_bin=A<0.65,1,1,0.6696428571428571,0.0,0.6548672566371682,0.0,0.5471698113207547,0.0,0.7340425531914894,0.0,0.7512392506668311,0.0,0.6200559722211815,0.0,0.8927388574481057,0.0,0.4333560682653254,0.0,0.8033898305084746,0.0,277.0,0.0,18.0,0.0,0.7512392506668311,0.0,0.036578341013824844,False
0.15,A_output_plus_meta,hgb,airlight_bin,airlight_bin=A>=0.95,1,1,0.5833333333333334,0.0,0.7894736842105263,0.0,0.8571428571428571,0.0,1.0,0.0,0.4242724909088664,0.0,0.29023403323059976,0.0,0.863834747260068,0.0,0.33330576120891353,0.0,0.9047619047619048,0.0,120.0,0.0,6.0,0.0,0.4242724909088664,0.0,0.03466076696165199,False
0.15,A_output_plus_meta,hgb,beta_bin,beta_bin=0.8<=beta<1.1,1,1,0.5694444444444444,0.0,0.6813186813186813,0.0,0.6470588235294118,0.0,0.8666666666666667,0.0,0.46399327254515377,0.0,0.3394824385647641,0.0,0.8643852977525667,0.0,0.4854964559141157,0.0,0.8191489361702128,0.0,176.0,0.0,12.0,0.0,0.46399327254515377,0.0,0.06319444444444444,False
0.15,A_output_plus_meta,hgb,beta_bin,beta_bin=1.1<=beta<1.4,1,1,0.7181208053691275,0.0,0.5833333333333334,0.0,0.5,0.0,0.8666666666666667,0.0,0.7337468556523017,0.0,0.5911761306447721,0.0,0.9440875408468832,0.0,0.5196819336830704,0.0,0.8190954773869347,0.0,180.0,0.0,19.0,0.0,0.7337468556523017,0.0,0.06379981771480647,False
0.15,A_output_plus_meta,hgb,beta_bin,beta_bin=1.4<=beta<1.7,1,1,0.6196319018404908,0.0,0.7209302325581395,0.0,0.7142857142857143,0.0,0.8928571428571429,0.0,0.5133649848204455,0.0,0.39152932868971835,0.0,0.8960994426367535,0.0,0.49909906988029334,0.0,0.864321608040201,0.0,188.0,0.0,11.0,0.0,0.5133649848204455,0.0,0.04248904469763359,False
0.15,A_output_plus_meta,hgb,beta_bin,beta_bin=beta<0.8,1,1,0.675,0.0,0.7027027027027027,0.0,0.5128205128205128,0.0,0.8240740740740741,0.0,0.7016020795507959,0.0,0.5468738580373232,0.0,0.9110966651387762,0.0,0.4178520655162362,0.0,0.8520408163265306,0.0,188.0,0.0,8.0,0.0,0.7016020795507959,0.0,0.02865853658536588,False
0.15,A_output_plus_meta,hgb,beta_bin,beta_bin=beta>=1.7,1,1,0.6228571428571429,0.0,0.75,0.0,0.8333333333333334,0.0,1.0,0.0,0.5062661918368708,0.0,0.3863499369130151,0.0,0.8800195780553194,0.0,0.3876712954649473,0.0,0.8715596330275229,0.0,202.0,0.0,16.0,0.0,0.5062661918368708,0.0,0.007037933817594877,False
0.15,A_output_plus_meta,hgb,content_cluster,content_cluster=content_k5_c0,1,1,0.7061855670103093,0.0,0.95,0.0,0.0,0.0,0.984375,0.0,1.0395207205597339,0.0,0.9072565828265907,0.0,0.947051261457882,0.0,0.144637858718193,0.0,0.9852941176470589,0.0,197.0,0.0,7.0,0.0,1.0395207205597339,0.0,0.010754094929091074,False
0.15,A_output_plus_meta,hgb,content_cluster,content_cluster=content_k5_c1,1,1,0.7339449541284404,0.0,0.9666666666666667,0.0,1.0,0.0,1.0,0.0,1.2995312669192518,0.0,1.0071280056659582,0.0,0.9604490976396045,0.0,0.39620667412001875,0.0,0.9910714285714286,0.0,110.0,0.0,2.0,0.0,1.2995312669192518,0.0,0.0,False
0.15,A_output_plus_meta,hgb,content_cluster,content_cluster=content_k5_c2,1,1,0.41203703703703703,0.0,0.8523489932885906,0.0,0.8620689655172413,0.0,0.9416666666666667,0.0,0.07566279771214493,0.0,0.02285863808250144,0.0,0.3440207760736335,0.0,0.2530405937174141,0.0,0.9118773946360154,0.0,239.0,0.0,22.0,0.0,0.07566279771214493,0.0,0.013806948541461805,False
0.15,A_output_plus_meta,hgb,content_cluster,content_cluster=content_k5_c3,1,1,0.6808510638297872,0.0,0.967741935483871,0.0,0.0,0.0,1.0,0.0,0.746825622637527,0.0,0.6037195797978699,0.0,0.9105298785031767,0.0,0.21691785441104633,0.0,0.9898477157360406,0.0,190.0,0.0,7.0,0.0,0.746825622637527,0.0,0.007166853303471443,False
0.15,A_output_plus_meta,hgb,content_cluster,content_cluster=content_k5_c4,1,1,0.48066298342541436,0.0,0.8545454545454545,0.0,0.9142857142857143,0.0,0.9591836734693877,0.0,0.1600937365553951,0.0,0.11535950157831175,0.0,0.7027420849607786,0.0,0.3788498538522711,0.0,0.911504424778761,0.0,198.0,0.0,28.0,0.0,0.1600937365553951,0.0,0.004987307749738656,False
