eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,mean_oracle_gated_gain,bootstrap_gain_p05,official_psnr,sim_psnr,sim_delta_vs_official,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,eligible_for_pass,split_family,split,train_n,valid_n
188,172,16,0.7819148936170213,0.5789473684210527,91,0.6153846153846154,56,0.6785714285714286,34,0.5588235294117647,60,0.8166666666666667,0.4685986176305212,0.33858720636781897,34.817413776827486,35.28601239445801,0.4685986176305212,0.8729647165036892,0.5081300207200069,C_official_internal,hgb,0.2,0.05,4524,4510,732,1,beta_bin,beta_bin=0.8<=beta<1.1,812,188
199,173,26,0.8140703517587939,0.6853146853146853,72,0.625,50,0.72,26,0.5769230769230769,45,0.8222222222222222,0.721895761098882,0.5797458749154817,33.93655153577519,34.65844729687407,0.721895761098882,0.9288391338150938,0.52688166268794,C_official_internal,hgb,0.2,0.05,4524,4510,731,1,beta_bin,beta_bin=1.1<=beta<1.4,801,199
199,182,17,0.8391959798994975,0.6209150326797386,86,0.6744186046511628,32,0.8125,14,0.6428571428571429,28,0.8571428571428571,0.5200933007187247,0.4097980620656516,33.177425613676775,33.69751891439551,0.5200933007187247,0.9078439914560323,0.5048918635343483,C_official_internal,hgb,0.2,0.05,4524,4510,722,1,beta_bin,beta_bin=1.4<=beta<1.7,801,199
196,183,13,0.7806122448979592,0.684931506849315,74,0.6216216216216216,89,0.5617977528089888,39,0.38461538461538464,108,0.7037037037037037,0.6944831836721486,0.545892817433392,37.25265986824386,37.94714305191601,0.6944831836721486,0.9018521054609336,0.41559699136837175,C_official_internal,hgb,0.2,0.05,4524,4510,721,1,beta_bin,beta_bin=beta<0.8,804,196
218,194,24,0.8486238532110092,0.6144578313253012,88,0.7272727272727273,23,0.8260869565217391,12,0.75,9,0.8888888888888888,0.48961548902458674,0.3801400609001787,32.352025138854216,32.8416406278788,0.48961548902458674,0.8510764159412822,0.3847211901216213,C_official_internal,hgb,0.2,0.05,4524,4510,710,1,beta_bin,beta_bin=beta>=1.7,782,218
204,196,8,0.9754901960784313,0.7120418848167539,60,0.9166666666666666,0,0.0,0,0.0,64,0.984375,1.0406537398138533,0.8712093673855117,30.46849267385541,31.50914641366926,1.0406537398138533,0.9480834941903783,0.1631433568282411,C_official_internal,hgb,0.2,0.05,4524,4510,708,1,content_cluster,content_cluster=content_k5_c0,796,204
112,108,4,0.9910714285714286,0.7289719626168224,30,0.9666666666666667,5,1.0,3,1.0,12,1.0,1.2995312669192518,1.0008867140297035,29.89198004352979,31.19151131044904,1.2995312669192518,0.9604490976396045,0.30615094922634656,C_official_internal,hgb,0.2,0.05,4524,4510,796,1,content_cluster,content_cluster=content_k5_c1,888,112
261,230,31,0.8582375478927203,0.41025641025641024,149,0.7718120805369127,159,0.8867924528301887,87,0.8160919540229885,120,0.8833333333333333,0.08316664766190078,0.03270610064503296,39.837928112677155,39.92109476033905,0.08316664766190078,0.37813900010595397,0.30448147816708787,C_official_internal,hgb,0.2,0.05,4524,4510,674,1,content_cluster,content_cluster=content_k5_c2,739,261
197,183,14,0.9898477157360406,0.6685082872928176,62,0.967741935483871,0,0.0,0,0.0,5,1.0,0.746825622637527,0.61941250906052,29.13097007984319,29.87779570248072,0.746825622637527,0.9105298785031767,0.22915894364724862,C_official_internal,hgb,0.2,0.05,4524,4510,721,1,content_cluster,content_cluster=content_k5_c3,803,197
226,187,39,0.8982300884955752,0.463855421686747,110,0.8090909090909091,86,0.9418604651162791,35,0.8571428571428571,49,0.9183673469387755,0.16573515853136905,0.11918013098920634,37.85682939712761,38.02256455565898,0.16573515853136905,0.7275054812487259,0.3737594746513557,C_official_internal,hgb,0.2,0.05,4524,4510,717,1,content_cluster,content_cluster=content_k5_c4,774,226
250,224,26,0.908,0.5346534653465347,115,0.8173913043478261,14,0.9285714285714286,11,0.9090909090909091,0,0.0,0.7689226059311787,0.5943054815470934,30.908283717754124,31.677206323685304,0.7689226059311787,0.8922988062056016,0.3585564368406319,C_official_internal,hgb,0.2,0.05,4524,4510,680,1,residual_energy_bin,residual_energy_bin=residual_high_q4,750,250
250,217,33,0.764,0.6666666666666666,94,0.5957446808510638,152,0.6973684210526315,68,0.5588235294117647,250,0.764,0.3563058896992377,0.28460827579751913,38.83344644305326,39.1897523327525,0.3563058896992377,0.829423291312198,0.4380869484478756,C_official_internal,hgb,0.2,0.05,4524,4510,687,1,residual_energy_bin,residual_energy_bin=residual_low_q1,750,250
250,235,15,0.816,0.6666666666666666,103,0.6213592233009708,14,0.6428571428571429,8,0.625,0,0.0,0.7102264908132956,0.5891233719552356,32.28502827506557,32.99525476587887,0.7102264908132956,0.9190589411960643,0.43485570095994464,C_official_internal,hgb,0.2,0.05,4524,4510,669,1,residual_energy_bin,residual_energy_bin=residual_midhigh_q3,750,250
250,228,22,0.792,0.6740331491712708,99,0.5959595959595959,70,0.6428571428571429,38,0.42105263157894735,0,0.0,0.44021710059873714,0.3434084633491183,34.99571379304915,35.435930893647885,0.44021710059873714,0.847174775615306,0.4658764880340208,C_official_internal,hgb,0.2,0.05,4524,4510,676,1,residual_energy_bin,residual_energy_bin=residual_midlow_q2,750,250
250,233,17,0.836,0.6701030927835051,99,0.6464646464646465,61,0.7049180327868853,33,0.5757575757575758,59,0.8305084745762712,0.7112601162200879,0.5781420506330814,33.84071671144422,34.551976827664305,0.7112601162200879,0.9260430313598068,0.5191116649306742,D_internal_contrast,hgb,0.2,0.05,10967,10953,671,1,random,random_1,750,250
250,219,31,0.796,0.625,102,0.6470588235294118,52,0.6538461538461539,19,0.42105263157894735,66,0.7878787878787878,0.5250977476427225,0.41307339927580367,34.29031846921945,34.81541621686217,0.5250977476427225,0.874547901751117,0.413613753480958,D_internal_contrast,hgb,0.2,0.05,10967,10953,685,1,random,random_2,750,250
250,227,23,0.772,0.6779661016949152,105,0.5428571428571428,65,0.6461538461538462,34,0.47058823529411764,60,0.75,0.696087364829641,0.5639580066444247,34.13535826605321,34.831445630882854,0.696087364829641,0.9383169839605967,0.5002702601966795,D_internal_contrast,hgb,0.2,0.05,10967,10953,677,1,random,random_3,750,250
250,230,20,0.724,0.4878048780487805,142,0.5915492957746479,0,0.0,0,0.0,36,0.7777777777777778,0.18554894287800378,0.12924814622165748,36.55675585116884,36.742304794046845,0.18554894287800378,0.6690126649484244,0.42623245630272627,D_internal_contrast,hgb,0.2,0.05,10967,10953,674,1,official_strength_bin,official_strength_bin=midhigh_official_q3,750,250
250,225,25,0.964,0.6284403669724771,88,0.9204545454545454,0,0.0,0,0.0,43,0.9302325581395349,0.699042405574022,0.5732548061576367,32.06365707295534,32.76269947852936,0.699042405574022,0.9021590147363161,0.2250343057518384,D_internal_contrast,hgb,0.2,0.05,10967,10953,679,1,official_strength_bin,official_strength_bin=midlow_official_q2,750,250
250,210,40,0.732,0.4768211920529801,125,0.632,250,0.732,125,0.632,152,0.756578947368421,0.0999363605763371,0.0638685959391112,41.996655378489706,42.09659173906604,0.0999363605763371,0.4907398539349698,0.2228090071320323,D_internal_contrast,hgb,0.2,0.05,10967,10953,694,1,official_strength_bin,official_strength_bin=strong_official_q4,750,250
250,239,11,0.992,0.7679324894514767,56,0.9821428571428571,0,0.0,0,0.0,19,1.0,1.2852298980982553,1.1295445290507704,26.405403926308217,27.690633824406472,1.2852298980982553,0.9678857262504549,0.2460509716103914,D_internal_contrast,hgb,0.2,0.05,10967,10953,665,1,official_strength_bin,official_strength_bin=weak_official_q1,750,250
250,234,16,0.756,0.6277777777777778,114,0.5877192982456141,38,0.6578947368421053,23,0.5217391304347826,36,0.8888888888888888,0.6215063978105199,0.48034180747261873,36.034125584802794,36.655631982613315,0.6215063978105199,0.8673021291655993,0.48869901765637375,D_internal_contrast,hgb,0.2,0.05,10967,10953,670,1,cr_strength_bin,cr_strength_bin=midhigh_cr_q3,750,250
250,230,20,0.912,0.638095238095238,95,0.8,1,1.0,1,1.0,35,1.0,0.7167518807707024,0.5674303718166778,32.400164474925866,33.116916355696574,0.7167518807707024,0.914823863593647,0.39693919271377154,D_internal_contrast,hgb,0.2,0.05,10967,10953,674,1,cr_strength_bin,cr_strength_bin=midlow_cr_q2,750,250
