name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split_family,split,oracle_recovery,prob_threshold
always_residual,strict_output_proxy,baseline,126,30.418116484267454,0.979845522888123,0.08196683014283014,0.2170819862279477,126,0,0.5634920634920635,1.0,0.5634920634920635,27,18,airlight_leave_one,A>=0.95,0.13016345670381282,
two_way_oracle,strict_output_proxy,oracle,126,30.965871944992678,0.9809680666242327,0.6297222908680569,0.7648374469531746,71,55,1.0,1.0,1.0,0,0,airlight_leave_one,A>=0.95,1.0,
decision_stump,strict_output_proxy,stump,126,30.30342252599939,0.9793645219197349,-0.032727128125230084,0.10238802795988747,92,34,0.5543478260869565,0.7183098591549296,0.5158730158730159,23,12,airlight_leave_one,A>=0.95,-0.051970731542814744,
ridge_logistic,strict_output_proxy,logistic,126,30.320371116757347,0.9795683243918041,-0.01577853736727546,0.1193366187178421,109,17,0.5229357798165137,0.8028169014084507,0.47619047619047616,27,16,airlight_leave_one,A>=0.95,-0.025056342448232426,0.4348693360399954
always_lfv1,strict_output_proxy,baseline,188,32.79166596173211,0.987475020454285,0.0,0.13191455297026322,0,188,,0.0,0.48936170212765956,0,0,beta_leave_one,0.8<=beta<1.1,0.0,
always_residual,strict_output_proxy,baseline,188,32.78604082977242,0.9871054507316427,-0.0056251319596862664,0.12628942101057694,188,0,0.5106382978723404,1.0,0.5106382978723404,47,29,beta_leave_one,0.8<=beta<1.1,-0.009405950970095183,
two_way_oracle,strict_output_proxy,oracle,188,33.389705647200444,0.9880901613134019,0.5980396854683311,0.7299542384385941,96,92,1.0,1.0,1.0,0,0,beta_leave_one,0.8<=beta<1.1,1.0,
decision_stump,strict_output_proxy,stump,188,32.88464082044373,0.9872741648491393,0.09297485871162245,0.22488941168188564,123,65,0.5447154471544715,0.6979166666666666,0.5478723404255319,24,18,beta_leave_one,0.8<=beta<1.1,0.15546603506557072,
ridge_logistic,strict_output_proxy,logistic,188,32.73727658128676,0.9872961627676132,-0.05438938044534584,0.07752517252491738,65,123,0.5076923076923077,0.34375,0.4946808510638298,17,9,beta_leave_one,0.8<=beta<1.1,-0.0909461056965692,0.5335735094331557
always_lfv1,strict_output_proxy,baseline,199,32.26798471026849,0.9851079720947611,0.0,0.09065307024159061,0,199,,0.0,0.4824120603015075,0,0,beta_leave_one,1.1<=beta<1.4,0.0,
always_residual,strict_output_proxy,baseline,199,32.244656212228854,0.985421401172427,-0.023328498039636297,0.06732457220195431,199,0,0.5175879396984925,1.0,0.5175879396984925,40,38,beta_leave_one,1.1<=beta<1.4,-0.03873623845477236,
two_way_oracle,strict_output_proxy,oracle,199,32.87022434349654,0.9861514208903864,0.6022396332280476,0.6928927034696383,103,96,1.0,1.0,1.0,0,0,beta_leave_one,1.1<=beta<1.4,1.0,
decision_stump,strict_output_proxy,stump,199,32.41148870929511,0.9852638604053899,0.14350399902661162,0.23415706926820226,136,63,0.5514705882352942,0.7281553398058253,0.5527638190954773,25,24,beta_leave_one,1.1<=beta<1.4,0.23828388420307028,
ridge_logistic,strict_output_proxy,logistic,199,32.31772119903717,0.9852819469705898,0.049736488768674515,0.14038955901026512,113,86,0.5309734513274337,0.5825242718446602,0.5175879396984925,24,17,beta_leave_one,1.1<=beta<1.4,0.08258587782089892,0.5059620668785672
always_lfv1,strict_output_proxy,baseline,199,31.368530132496904,0.9826412147013985,0.0,0.1332233335984894,0,199,,0.0,0.4723618090452261,0,0,beta_leave_one,1.4<=beta<1.7,0.0,
