group_name,group_value,num_images,mean_baseline_psnr,mean_lfv1_psnr,mean_residual_psnr,mean_lfv1_delta_baseline_psnr,mean_residual_delta_baseline_psnr,mean_residual_delta_lfv1_psnr,median_residual_delta_lfv1_psnr,lfv1_better_030db_count,lfv1_worse_030db_count,residual_better_030db_count,residual_worse_030db_count,residual_over_lfv1_030db_count,residual_under_lfv1_030db_count,mean_lfv1_residual_cosine,mean_rescalib_residual_cosine,mean_residual_vs_lfv1_cosine,mean_delta_e_change_residual_vs_lfv1,mean_luma_abs_bias_change_residual_vs_lfv1,mean_dark_channel_abs_bias_change_residual_vs_lfv1,mean_edge_error_change_residual_vs_lfv1
residual_relation,small_gain,1,41.23033683837414,41.532688224073844,41.46287815719414,0.3023513856997013,0.2325413188199974,-0.06981006687970392,-0.06981006687970392,1,0,0,0,0,0,0.5102008581161499,0.45219719409942627,0.43033909797668457,0.0035867691040039062,-0.0001704096794128418,-0.00045490264892578125,-8.015427738428116e-05
residual_vs_lfv1_relation,gain>=0.30,8,29.799341814882855,29.30205318693686,30.631224212835924,-0.49728862794599626,0.8318823979530747,1.329171025899071,1.2126369398954573,1,3,7,1,8,0,0.12996022641891614,0.45608118921518326,0.5557311102747917,-0.36473605036735535,-0.003439493477344513,-0.004843601956963539,-0.0008323646616190672
residual_vs_lfv1_relation,regress<=-0.30,9,30.589082693336806,30.712771708274172,28.966723429667475,0.12368901493736059,-1.6223592636693394,-1.7460482786067,-1.779103651652477,4,4,3,6,0,9,0.3264133425222503,-0.01843790730668439,-0.21163973543379042,0.5659180482228597,0.006589187516106499,0.0056988563802507185,0.0009118191276987394
residual_vs_lfv1_relation,small_gain,1,40.12455150955639,38.172838848277465,38.41758858749801,-1.9517126612789255,-1.7069629220583806,0.24474973922054488,0.24474973922054488,0,1,0,1,0,0,0.04991593584418297,0.06338009238243103,0.3298143148422241,-0.00737607479095459,2.86102294921875e-06,-0.00044652819633483887,0.0005213944241404533
residual_vs_lfv1_relation,small_regress,2,38.462545175841086,38.078105688075965,38.000993443915085,-0.38443948776512116,-0.46155173192600074,-0.07711224416087958,-0.07711224416087958,1,1,0,1,0,0,0.287731546908617,0.3101635277271271,0.3736724704504013,0.017638325691223145,-1.3574957847595215e-05,-0.0008803531527519226,9.713554754853249e-05
winner_by_psnr,baseline,7,33.428481969692484,31.9782034811169,30.94282930196518,-1.4502784885755848,-2.4856526677273076,-1.0353741791517226,-1.0057730097174016,0,7,0,7,1,4,0.0040661900171211785,-0.1453120093792677,0.020976788231304715,0.35819283553532194,0.004625499248504639,0.0024528333118983676,5.062869084732873e-05
winner_by_psnr,lfv1,6,32.20775394677216,33.092182457675506,32.13356838542736,0.8844285109033461,-0.07418556134479697,-0.958614072248143,-0.8249091834164393,5,0,3,2,0,5,0.5344172318776449,0.28027284145355225,-0.04527734965085983,0.32270042101542157,0.0031159122784932456,0.0031416366497675576,0.0006812494248151779
winner_by_psnr,residual,7,29.07146045026462,28.965700282931497,30.109809231243208,-0.10576016733312496,1.0383487809785852,1.14410894831171,1.2010849106951227,1,2,7,0,7,0,0.19540202890389732,0.5002803589616504,0.5347252999033246,-0.3200396810259138,-0.002758788211005075,-0.003669427973883493,-0.0003112538584641048
pattern,both_regress_baseline,2,37.90965251143221,36.39818100017777,36.478348659067024,-1.5114715112544346,-1.4313038523651898,0.08016765888924482,0.08016765888924482,0,2,0,2,0,0,0.05758908577263355,0.11575497686862946,0.3234100788831711,0.012156903743743896,7.306039333343506e-05,-0.0008761659264564514,0.00039790989831089973
pattern,lost_lfv1_gain,4,28.622234152446254,29.87229262592647,28.721348083145674,1.250058473480217,0.09911393069942065,-1.1509445427807963,-1.1754129114996932,4,0,3,1,0,4,0.5813176184892654,0.2541675306856632,-0.2252538539469242,0.43277686834335327,0.004182048141956329,0.004150889813899994,0.0008496241644024849
