blend_mean_psnr,cr_mean_psnr,feature_count,feature_set,gain_vs_cr,gain_vs_lfv1,head,intervention_precision,intervention_rate,lfv1_mean_psnr,mean_oracle_c,mean_pred_c,n,oracle_gain_vs_lfv1,oracle_mean_psnr,oracle_recovery,pred_lfv1_delta_corr,pred_oracle_c_corr,preserve_recall,regression_improve_recall,split,split_family,std_pred_c,strong_cr_regression_improve_recall
37.71451872326468,36.98532076749452,306,hazy_wavelet,0.7291979557701609,0.8154582397187013,sklearn_hgb,0.49924924924924924,1.0,36.89906048354598,0.48511716874098826,0.4875314129869471,2364,1.1261907630751153,38.025251246621096,0.724085356100179,0.1963203102350235,0.22415608167648315,0.6434782608695652,1.0,beta_bin=1.4<=beta<1.7,beta_bin,0.07646691239583316,1.0
40.989984552148755,40.08567268727901,306,hazy_wavelet,0.9043118648697472,0.6614761113546379,sklearn_hgb,0.43404634581105167,1.0,40.32850844079412,0.5303310730493479,0.5066209988338393,2392,1.081434137481196,41.40994257827531,0.6116656469664367,0.1814432442188263,0.19028572738170624,0.5657657657657658,1.0,beta_bin=beta<0.8,beta_bin,0.07040283490565435,1.0
36.91092930319423,36.1733858435778,306,hazy_wavelet,0.7375434596164325,0.8049401312774194,sklearn_hgb,0.4702702702702703,1.0,36.10598917191681,0.4907347058970687,0.4862193293006541,2452,1.1229711492974062,37.22896032121422,0.7167950234343227,0.16199660301208496,0.1332176923751831,0.6146881287726358,1.0,beta_bin=beta>=1.7,beta_bin,0.09006983246827606,1.0
38.820295937388295,38.012596404125865,306,hazy_wavelet,0.8076995332624293,0.750266719291055,sklearn_ridge,0.4460694698354662,1.0,38.07002921809724,0.5046867028982333,0.4940378057062626,3000,1.1049129326171823,39.17494215071442,0.6790279099306369,0.10998903214931488,0.10406960546970367,0.5909810126582279,1.0,random_image_1,random_image,0.05946101604481481,1.0
38.74603110924472,38.047348553183355,306,hazy_wavelet,0.6986825560613639,0.7849339884501347,sklearn_ridge,0.4463924477410654,1.0,37.961097120794584,0.4903664647396328,0.5005862222711245,3000,1.1566408805261048,39.11773800132069,0.6786324101672978,0.10657303035259247,0.09589801728725433,0.5681431005110733,1.0,random_image_2,random_image,0.05762563114363116,1.0
38.909852770167454,38.15176099713089,306,hazy_wavelet,0.7580917730365613,0.7480043571049038,sklearn_ridge,0.45309625996321273,1.0,38.16184841306255,0.5018088008263052,0.4948917841613293,3000,1.1158035552026178,39.27765196826517,0.6703728031843418,0.11763318628072739,0.11829927563667297,0.5689243027888446,1.0,random_image_3,random_image,0.05932308369449266,1.0
39.43417754277098,38.63839310400732,306,hazy_wavelet,0.7957844387636612,0.7751786141987367,sklearn_ridge,0.43094841930116473,1.0,38.658998928572245,0.5112501454363895,0.49206454545094214,2164,1.147693115515473,39.80669204408772,0.6754232500993079,0.08719078451395035,0.09079668670892715,0.5918367346938775,1.0,airlight_bin=0.65<=A<0.75,airlight_bin,0.06147033863937109,1.0
38.93074802110493,38.226301407272786,306,hazy_wavelet,0.7044466138321468,0.8150144451189689,sklearn_ridge,0.4864479315263909,1.0,38.11573357598596,0.48104868762504055,0.4976728661719946,2588,1.196520142721404,39.31225371870737,0.6811539697648487,0.12983937561511993,0.13845710456371307,0.6136585365853658,1.0,airlight_bin=0.75<=A<0.85,airlight_bin,0.056580427393375675,1.0
38.156723018606826,37.45802076160389,306,hazy_wavelet,0.6987022570029353,0.7776217368203149,sklearn_ridge,0.4681504221028396,1.0,37.37910128178651,0.4920932319523749,0.4995607891571875,2564,1.0888258972310751,38.467927179017586,0.7141837265233328,0.0819811150431633,0.09040147066116333,0.6062992125984252,1.0,airlight_bin=0.85<=A<0.95,airlight_bin,0.05852347961889309,1.0
39.421869161516774,38.62561647485154,306,hazy_wavelet,0.796252686665234,0.7196992862668452,sklearn_ridge,0.4488667772249862,1.0,38.70216987524993,0.505550731960906,0.49729763961879814,3388,1.1790983779287387,39.88126825317867,0.6103810332862075,0.07554206997156143,0.07430461794137955,0.5340599455040872,1.0,airlight_bin=A<0.65,airlight_bin,0.06631048646732068,1.0
