name,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,median_delta_lfv1_psnr,p10_delta_lfv1_psnr,p90_delta_lfv1_psnr,three_way_accuracy,two_way_accuracy_on_pair_rows,residual_selection_count,lfv1_selection_count,baseline_selection_count,residual_precision_vs_lfv1,residual_recall_vs_lfv1,lost_lfv1_gain_selected_count,residual_worst_selected_count,residual_beats_both_selected_count,mitigates_lfv1_regression_selected_count,feature,threshold,op,feature_class,selected_fraction
rule,1000,32.47226961196178,0.9845326349139214,0.04399513202247725,0.24695416789855304,0.0,-1.1349172490237558,1.31910360290841,0.386,0.535,600,400,0,0.5366666666666666,0.6326129666011788,115,94,181,81,baseline_luma_bias,0.001030802726745605,<=,gt_aware_diagnostic,0.6
rule,1000,32.47210758888336,0.984597750365734,0.0438331089440702,0.24679214482014572,0.0,-1.0028627442786449,1.2470069850187964,0.389,0.546,549,451,0,0.5500910746812386,0.593320235756385,113,76,185,58,residual_edge_error,0.014840241614729166,<=,gt_aware_diagnostic,0.549
rule,1000,32.472102558985455,0.9845477480888367,0.0438280790461493,0.24678711492222485,0.0,-1.2273486099001072,1.400252923218232,0.386,0.524,599,401,0,0.5275459098497496,0.6208251473477406,118,94,191,61,residual_luma_std,0.25262609124183655,>=,proxy_or_output_feature,0.599
rule,1000,32.47207931860572,0.9846097713112831,0.043804838666432415,0.24676387454250806,0.0,-1.5152808400647715,1.6736550549245317,0.384,0.518,799,201,0,0.5168961201501877,0.8113948919449901,166,126,242,93,residual_luma_std,0.22773627936840057,>=,proxy_or_output_feature,0.799
rule,1000,32.47190768699926,0.9845066466331482,0.04363320705994628,0.24659224293602192,0.0,-0.6088592494521322,0.8576010945104973,0.354,0.505,500,500,0,0.514,0.5049115913555993,90,70,139,48,residual_lfv1_luma_mean_delta_abs,0.0034649670124053955,<=,proxy_or_output_feature,0.5
rule,1000,32.471790161255676,0.9845053163766861,0.043515681316372075,0.24647471719244768,0.0,-0.1575386205439386,0.602410528594729,0.356,0.522,251,749,0,0.5617529880478087,0.2770137524557957,56,30,85,27,baseline_luma_bias,-0.009205535054206848,<=,gt_aware_diagnostic,0.251
rule,1000,32.471697737025124,0.9844866935014724,0.04342325708584179,0.24638229296191744,0.0,-0.10868672772260535,0.6912197029680566,0.367,0.531,250,750,0,0.58,0.28487229862475444,54,33,95,29,residual_lfv1_luma_std_delta,0.002374589443206787,>=,proxy_or_output_feature,0.25
rule,1000,32.471506335736656,0.9844590571522712,0.04323185579735611,0.24619089167343147,0.0,-1.1911224601670638,1.3072629392686659,0.364,0.525,650,350,0,0.5261538461538462,0.6719056974459725,135,95,189,81,residual_lfv1_luma_mean_delta,-0.0013087719678878784,>=,proxy_or_output_feature,0.65
rule,1000,32.47147343425524,0.9845095309615135,0.0431989543159272,0.24615799019200268,0.0,-1.1088478449874541,1.2474842677369866,0.359,0.507,700,300,0,0.5114285714285715,0.7033398821218074,141,107,201,80,residual_lfv1_luma_std_delta_abs,0.003003853559494019,<=,proxy_or_output_feature,0.7
rule,1000,32.47137306802985,0.9846564850211144,0.04309858809056049,0.24605762396663608,0.0,-1.1920034804748125,1.3163072455463694,0.377,0.533,700,300,0,0.53,0.7288801571709234,137,106,210,83,baseline_saturation_mean,0.18766925334930418,>=,proxy_or_output_feature,0.7
rule,1000,32.47132651473234,0.9845594797730446,0.04305203479304996,0.2460110706691253,0.0,-1.2861312850047066,1.5583058720290266,0.401,0.541,550,450,0,0.5454545454545454,0.5893909626719057,107,96,186,66,lfv1_delta_e_mean,1.9906198263168333,>=,gt_aware_diagnostic,0.55
rule,1000,32.47119754914607,0.9844823659062386,0.042923069206747044,0.24588210508282285,0.0,-1.3775573746093648,1.567407691068561,0.382,0.525,750,250,0,0.5226666666666666,0.7701375245579568,148,123,230,87,residual_lap_var_ratio_gt,0.9755157232284546,>=,gt_aware_diagnostic,0.75
rule,1000,32.47079815035436,0.984438878595829,0.042523670415061735,0.24548270629113714,0.0,-0.5539076403022066,0.9284066184634219,0.356,0.515,400,600,0,0.53,0.4165029469548134,73,65,117,55,residual_highfreq_abs_mean,0.038635969161987305,>=,proxy_or_output_feature,0.4
rule,1000,32.4707639041116,0.9844874641299248,0.04248942417228621,0.24544846004836185,0.0,-1.003088428153168,1.2201866335935745,0.389,0.558,449,551,0,0.5746102449888641,0.5068762278978389,87,65,159,52,residual_lfv1_lap_var_delta,0.0002579294145107274,>=,proxy_or_output_feature,0.449
rule,1000,32.47058926533421,0.9844446979165077,0.042314785394931824,0.2452738212710075,0.0,0.0,0.0,0.33,0.501,150,850,0,0.5333333333333333,0.15717092337917485,27,26,44,23,baseline_highfreq_abs_mean,0.04738943688571453,>=,proxy_or_output_feature,0.15
rule,1000,32.47038141171678,0.9844843227863311,0.042106931777485465,0.2450659676535608,0.0,0.0,0.0,0.35,0.515,100,900,0,0.62,0.12180746561886051,17,14,51,3,lfv1_from_baseline_residual_norm_ratio,0.2910849123212195,<=,gt_aware_diagnostic,0.1
rule,1000,32.47037992202519,0.9844789744615555,0.04210544208587102,0.24506447796194683,0.0,-1.2575577165069394,1.4777195235135097,0.384,0.534,649,351,0,0.5331278890600925,0.6797642436149313,132,97,212,71,residual_lfv1_highfreq_abs_mean_delta,-2.289321273565291e-05,>=,proxy_or_output_feature,0.649
rule,1000,32.47018197950955,0.9844678917527199,0.04190749957022941,0.24486653544630516,0.0,-1.3106123211106235,1.5583058720290266,0.377,0.521,700,300,0,0.5214285714285715,0.7170923379174853,138,116,213,83,residual_lap_var_ratio_gt,0.9810807466506958,>=,gt_aware_diagnostic,0.7
rule,1000,32.470115928964006,0.9844378587007523,0.041841449024709286,0.2448004849007846,0.0,-0.9552814109452583,1.1272974600251116,0.376,0.538,401,599,0,0.5586034912718204,0.4400785854616896,89,60,137,56,residual_lfv1_luma_mean_delta,0.0015386700630187979,>=,proxy_or_output_feature,0.401
rule,1000,32.46998833297179,0.984497083902359,0.04171385303248007,0.2446728889085553,0.0,-0.9600323137877702,1.2041764147329068,0.37,0.528,451,549,0,0.541019955654102,0.4793713163064833,97,69,144,62,residual_lfv1_dark_channel_mean_delta,0.0008118309080600738,>=,proxy_or_output_feature,0.451
rule,1000,32.469808669803385,0.9846141468286514,0.04153418986407164,0.24449322574014723,0.0,-1.422640158489782,1.5845645051019175,0.381,0.518,699,301,0,0.51931330472103,0.7131630648330058,147,105,218,77,lfv1_luma_std,0.24179074466228484,>=,proxy_or_output_feature,0.699
rule,1000,32.46974194568809,0.9844873847961426,0.04146746574879514,0.24442650162487048,0.0,-1.5076644241199495,1.693911158056574,0.386,0.535,700,300,0,0.5314285714285715,0.730844793713163,157,105,231,82,baseline_dark_channel_abs_bias,0.004128125309944152,>=,gt_aware_diagnostic,0.7
rule,1000,32.4697080685878,0.9845128609538079,0.04143358864848282,0.24439262452455843,0.0,-1.2545864962515236,1.42831991423383,0.372,0.52,655,345,0,0.5221374045801527,0.6719056974459725,139,97,196,82,airlight,0.675,>=,proxy_or_output_feature,0.655
rule,1000,32.46969031479963,0.9847043271064758,0.04141583486032109,0.24437487073639677,0.0,-1.4354993963682994,1.6109987556379814,0.397,0.543,800,200,0,0.5325,0.8369351669941061,161,121,246,93,residual_saturation_mean,0.1475553959608078,>=,proxy_or_output_feature,0.8
rule,1000,32.469680865611544,0.984488196015358,0.041406385672240205,0.24436542154831578,0.0,-1.4427566830520195,1.686029684085155,0.391,0.535,850,150,0,0.5258823529411765,0.8781925343811395,170,137,260,97,residual_saturation_bias,-0.017675623297691345,>=,gt_aware_diagnostic,0.85
rule,1000,32.469318954084116,0.9845572550296784,0.04104447414480824,0.24400351002088402,0.0,-1.2273486099001072,1.423737407051318,0.381,0.535,700,300,0,0.5314285714285715,0.730844793713163,133,111,201,92,baseline_luma_bias,0.004272282123565674,<=,gt_aware_diagnostic,0.7
rule,1000,32.46913712868613,0.9844112083911896,0.04086264874683456,0.24382168462291023,0.0,-0.18301400408329083,0.4376457948403271,0.334,0.503,250,750,0,0.524,0.25736738703339884,47,41,70,36,residual_highfreq_abs_mean,0.04293842799961567,>=,proxy_or_output_feature,0.25
rule,1000,32.46904894773518,0.9845799103975296,0.040774467795877796,0.24373350367195334,0.0,-1.1911224601670638,1.466738636984702,0.392,0.534,501,499,0,0.5429141716566867,0.5343811394891945,96,88,166,62,lfv1_delta_e_mean,2.1392526626586914,>=,gt_aware_diagnostic,0.501
rule,1000,32.46900693157787,0.9844434365034104,0.04073245163859634,0.24369148751467193,0.0,0.0,0.0,0.331,0.503,150,850,0,0.54,0.15913555992141454,26,26,44,23,lfv1_highfreq_abs_mean,0.047292795404791824,>=,proxy_or_output_feature,0.15
rule,1000,32.46895012478027,0.9844425031542778,0.04067564484098216,0.24363468071705782,0.0,0.0,0.0,0.346,0.517,100,900,0,0.63,0.1237721021611002,15,9,37,14,residual_luma_abs_bias,0.0011148005723953247,<=,gt_aware_diagnostic,0.1
rule,1000,32.468911165913234,0.9845996213555336,0.04063668597391733,0.2435957218499929,0.0,-1.3780409119789074,1.4913743154688996,0.376,0.533,600,400,0,0.535,0.630648330058939,128,97,187,78,lfv1_saturation_abs_bias,0.0055245041847229006,>=,gt_aware_diagnostic,0.6
