split_family,feature_set,model_type,name,splits,mean_psnr_mean,mean_psnr_std,mean_ssim_mean,mean_ssim_std,gain_vs_lfv1_psnr_mean,gain_vs_lfv1_psnr_std,gain_vs_baseline_psnr_mean,gain_vs_baseline_psnr_std,residual_precision_mean,residual_precision_std,residual_recall_mean,residual_recall_std,two_way_accuracy_mean,two_way_accuracy_std,residual_selection_count_mean,residual_selection_count_std,lost_lfv1_gain_selected_count_mean,lost_lfv1_gain_selected_count_std,residual_worst_selected_count_mean,residual_worst_selected_count_std,oracle_recovery_mean,oracle_recovery_std
random_stratified,activation_plus_rich_output_proxy,logistic,ridge_logistic,2,29.902597451195085,0.39959120562831707,0.9796191627780596,0.001707024872303009,0.4225736663322814,0.012485962201154166,0.2958472894947209,0.2747170268858431,0.9,0.0,0.75,0.0,0.8333333333333334,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.6647837693162908,0.029050961705676226
random_stratified,rich_output_reference,logistic,ridge_logistic,2,29.79782589811237,0.5174975821889873,0.9792048695186775,0.002054131279389082,0.31780211324956403,0.13039233876182668,0.19107573641200354,0.3926234034465156,0.6826923076923077,0.06730769230769229,0.7083333333333333,0.041666666666666685,0.6875,0.0625,12.5,0.5,2.5,0.5,0.5,0.5,0.5026558075601303,0.2121263893197212
random_stratified,rich_output_reference,stump,decision_stump,2,29.768127500594755,0.46002919780756457,0.9790915151437123,0.0020952920118967877,0.2881037157319511,0.07292395438040382,0.16137733889439065,0.3351550190650928,0.5833333333333333,0.08333333333333331,0.5833333333333333,0.08333333333333331,0.5833333333333333,0.08333333333333331,12.0,0.0,1.5,0.5,2.0,0.0,0.4546738714122178,0.12109441402556123
random_stratified,activation_plus_strict_output_proxy,stump,decision_stump,2,29.59769563591675,0.34268694459679594,0.9787118099629879,0.001933449258406994,0.1176718510539462,0.04441829883036594,-0.00905452578361425,0.21781276585432302,0.4642857142857143,0.035714285714285726,0.33333333333333337,0.08333333333333334,0.47916666666666663,0.020833333333333343,8.5,1.5,2.0,0.0,0.5,0.5,0.18405152992424373,0.06722648946994349
random_stratified,metadata_diagnostic,logistic,ridge_logistic,2,29.57476958899487,0.25517431014333525,0.9792958833277225,0.0018407913545767096,0.0947458041320596,0.131930933283827,-0.03198057270550085,0.130300131400862,0.5789473684210527,0.0,0.9166666666666666,0.0,0.625,0.0,19.0,0.0,4.0,1.0,2.5,0.5,0.1460497511079013,0.20535273486211741
random_stratified,metadata_diagnostic,stump,decision_stump,2,29.560763034650257,0.26918086448794476,0.9794669623176256,0.0016697123646736145,0.08073924978745084,0.11792437893921823,-0.045987127050109614,0.14430668574547073,0.575187969924812,0.003759398496240629,0.9583333333333333,0.041666666666666685,0.625,0.0,20.0,1.0,4.5,0.5,2.5,0.5,0.1243362834063641,0.1836392671605802
random_stratified,activation_only_proxy,stump,decision_stump,2,29.543691621916558,0.396690958596988,0.9786306607226531,0.002014598498741804,0.06366783705375252,0.009585715169827754,-0.06305853978380795,0.27181677985451674,0.4642857142857143,0.035714285714285726,0.4166666666666667,0.16666666666666669,0.47916666666666663,0.020833333333333343,10.5,3.5,2.0,0.0,1.5,1.5,0.10033255201602477,0.016492488438275457
random_stratified,activation_only_proxy,baseline,always_lfv1,2,29.48002378486281,0.3871052434271611,0.9778395866354307,0.002077840268611908,0.0,0.0,-0.12672637683756044,0.262231064684689,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_stratified,activation_plus_strict_output_proxy,baseline,always_lfv1,2,29.48002378486281,0.3871052434271611,0.9778395866354307,0.002077840268611908,0.0,0.0,-0.12672637683756044,0.262231064684689,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_stratified,activation_plus_rich_output_proxy,baseline,always_lfv1,2,29.48002378486281,0.3871052434271611,0.9778395866354307,0.002077840268611908,0.0,0.0,-0.12672637683756044,0.262231064684689,,,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
