group_name,group_value,num_images,better_psnr_count,worse_psnr_count,better_030db_count,worse_030db_count,mean_baseline_psnr,mean_current_psnr,mean_delta_psnr,median_delta_psnr,p10_delta_psnr,p90_delta_psnr,min_delta_psnr,max_delta_psnr,mean_delta_ssim
airlight_beta_bin,0.65<=A<0.75 | beta>=1.7,42,17,25,14,21,30.380087465368515,30.127189187955608,-0.2528982774129044,-0.3235384433462052,-2.2531923583227993,2.1048619130483255,-4.225086750098065,3.481600430892179,-0.0013506000950222923
airlight_beta_bin,0.75<=A<0.85 | 0.8<=beta<1.1,44,19,25,16,22,33.20044545420157,32.82972599279577,-0.37071946140580414,-0.2770544406967872,-1.8941804785855318,1.233581838396638,-6.102797284205156,2.7395521227282345,-0.0007955906066027554
airlight_beta_bin,0.75<=A<0.85 | 1.1<=beta<1.4,36,17,19,14,17,31.743454649824358,31.48423909986883,-0.2592155499555288,-0.2540219327940072,-2.6227624744053006,1.940978607055591,-3.947406143473927,3.1788093460244653,0.00013181070486704508
airlight_beta_bin,0.75<=A<0.85 | 1.4<=beta<1.7,37,19,18,17,14,30.611585239368786,30.530435625682113,-0.08114961368667353,0.18414667110385352,-1.7567651953107926,1.6852897639112,-4.943454210307035,2.836698906242191,-0.0001949957899145178
airlight_beta_bin,0.75<=A<0.85 | beta<0.8,44,22,22,18,18,35.331502492527,35.315984119677466,-0.015518372849536681,0.038655623801201244,-1.492345626521789,1.2605261099272362,-2.6511905093706147,2.3223962873706867,0.0005100735209204934
airlight_beta_bin,0.75<=A<0.85 | beta>=1.7,49,15,34,10,28,31.168032705155433,30.779076694344866,-0.3889560108105639,-0.5463360255072018,-2.090023709117588,1.7890690572691903,-3.568922193727552,3.247244581526097,-0.001343731977501694
airlight_beta_bin,0.85<=A<0.95 | 0.8<=beta<1.1,27,14,13,11,9,31.657301205589242,31.633777613357186,-0.02352359223206006,0.05373573584274993,-1.5276167800662535,1.4240115527186856,-2.189102691963832,2.2706586466184113,7.605773431283456e-05
airlight_beta_bin,0.85<=A<0.95 | 1.1<=beta<1.4,27,16,11,13,10,31.129884948221655,31.29196706298428,0.16208211476263276,0.10638388201391535,-1.2692635413811373,1.4124142686218812,-3.226640196592186,2.704615265077962,0.00031883186764187284
airlight_beta_bin,0.85<=A<0.95 | 1.4<=beta<1.7,46,25,21,19,21,31.203212386677034,31.006387363515426,-0.19682502316160133,0.10955147932265241,-1.8999285269273827,1.2092822492809354,-4.228945368952541,2.7771729059108203,-0.00023827734200850776
airlight_beta_bin,0.85<=A<0.95 | beta<0.8,36,20,16,14,13,33.39122156156686,33.49421728471527,0.10299572314841014,0.11878206411291714,-0.9940209002755616,1.5869182691886738,-3.013818409249332,3.367209853198858,0.0001021971305211385
airlight_beta_bin,0.85<=A<0.95 | beta>=1.7,39,17,22,11,18,29.817136921381163,29.55143873542799,-0.26569818595318,-0.14451027445226572,-1.7865185216101351,0.8219850956817433,-3.9637754062168717,3.3575237760604786,-0.0014426356706863795
airlight_beta_bin,A<0.65 | 0.8<=beta<1.1,61,26,35,20,28,33.26075329541481,32.958423327203114,-0.3023299682116933,-0.09258908738672034,-2.1078454110358535,1.4313666685741921,-3.8366554190534288,5.7902658039707475,0.00039454561765076685
airlight_beta_bin,A<0.65 | 1.1<=beta<1.4,67,34,33,29,33,33.64292137779774,33.64600822826643,0.0030868504686998475,0.05591242523216522,-2.082917384431884,2.207378565366362,-4.416400483647454,3.9312599427167996,-0.00028327329834895346
airlight_beta_bin,A<0.65 | 1.4<=beta<1.7,54,24,30,16,25,32.0456996000222,31.639826369000566,-0.4058732310216309,-0.1757153314948141,-2.3675294078206237,1.3171477643931044,-3.6793705658777256,2.370561865862392,-0.0004529401108070656
