name,feature_set,model_type,num_images,mean_psnr,mean_ssim,gain_vs_lfv1_psnr,gain_vs_baseline_psnr,residual_selection_count,lfv1_selection_count,residual_precision,residual_recall,two_way_accuracy,lost_lfv1_gain_selected_count,residual_worst_selected_count,split,oracle_recovery,prob_threshold
two_way_oracle,output_plus_metadata_proxy,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,0,1.0,
decision_stump,output_plus_metadata_proxy,stump,300,32.49562539965103,0.9851018587748209,0.07221124646739395,0.2207042914037597,140,160,0.5785714285714286,0.5294117647058824,0.5633333333333334,29,19,0,0.11871414277433971,
ridge_logistic,output_plus_metadata_proxy,logistic,300,32.52423393311645,0.9853193775812785,0.10081977993280619,0.24931282486917192,253,47,0.541501976284585,0.8954248366013072,0.56,53,37,0,0.16574611760544794,0.452641101644977
always_lfv1,output_plus_metadata_proxy,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,1,0.0,
always_residual,output_plus_metadata_proxy,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,1,-0.0016499442478817644,
two_way_oracle,output_plus_metadata_proxy,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,1,1.0,
decision_stump,output_plus_metadata_proxy,stump,300,32.60159874570479,0.9838571079572042,0.05391456673511081,0.23888216976415644,143,157,0.5104895104895105,0.477124183006536,0.5,34,19,1,0.08465257974171998,
ridge_logistic,output_plus_metadata_proxy,logistic,300,32.586120793804625,0.9839715011914572,0.03843661483494858,0.22340421786399417,145,155,0.5379310344827586,0.5098039215686274,0.5266666666666666,32,18,1,0.06035026894129366,0.5198108367875519
always_lfv1,gt_diagnostic_leakage_check,baseline,300,32.42341415318364,0.9850379580259323,0.0,0.14849304493636575,0,300,,0.0,0.49,0,0,0,0.0,
always_residual,gt_diagnostic_leakage_check,baseline,300,32.38798337562583,0.984958867430687,-0.035430777557812765,0.11306226737855297,300,0,0.51,1.0,0.51,64,53,0,-0.05824763580979427,
two_way_oracle,gt_diagnostic_leakage_check,oracle,300,33.0316925333313,0.9858817841609319,0.6082783801476647,0.7567714250840303,153,147,1.0,1.0,1.0,0,0,0,1.0,
decision_stump,gt_diagnostic_leakage_check,stump,300,33.030459834111525,0.9858815528949102,0.6070456809278831,0.7555387258642489,150,150,0.9866666666666667,0.9673202614379085,0.9766666666666667,0,0,0,0.9979734620528806,
ridge_logistic,gt_diagnostic_leakage_check,logistic,300,33.02418665378381,0.985860123038292,0.6007725006001627,0.7492655455365287,153,147,0.9411764705882353,0.9411764705882353,0.94,1,1,0,0.9876604531864509,0.5321361072756466
always_lfv1,gt_diagnostic_leakage_check,baseline,300,32.54768417896968,0.9839076377948125,0.0,0.1849676030290456,0,300,,0.0,0.49,0,0,1,0.0,
always_residual,gt_diagnostic_leakage_check,baseline,300,32.54663334236749,0.9840051833788553,-0.0010508366021808632,0.18391676642686475,300,0,0.51,1.0,0.51,65,48,1,-0.0016499442478817644,
two_way_oracle,gt_diagnostic_leakage_check,oracle,300,33.18457636701175,0.9848209047317504,0.6368921880420814,0.821859791071127,153,147,1.0,1.0,1.0,0,0,1,1.0,
decision_stump,gt_diagnostic_leakage_check,stump,300,33.18325856701535,0.9848220487435658,0.6355743880456756,0.8205419910747213,149,151,0.9932885906040269,0.9673202614379085,0.98,0,0,1,0.9979308899981063,
ridge_logistic,gt_diagnostic_leakage_check,logistic,300,33.18163413119039,0.9848416715860366,0.6339499522207138,0.8189175552497594,161,139,0.937888198757764,0.9869281045751634,0.96,0,0,1,0.9953803235828461,0.5162492251197561
