eval_n,labeled_n,ignored_n,intervention_rate,intervention_precision,intervention_recall,nochange_count,nochange_false_intervention_rate,strong_official_count,strong_official_intervention_rate,official_preserve_rate,strong_nochange_count,strong_nochange_false_intervention_rate,residual_low_count,residual_low_false_intervention_rate,low_residual_preserve_rate,simulated_mean_psnr_gain,bootstrap_gain_p05,official_psnr,sim_psnr,oracle_recovery,confidence_corr,feature_set,head,target_margin,threshold,feature_count,active_feature_count,train_labeled_n,split_family,split,train_n,valid_n,control
250,217,33,0.436,0.7692307692307693,0.6504065040650406,94,0.2553191489361702,152,0.21052631578947367,0.7894736842105263,68,0.1323529411764706,250,0.436,0.5640000000000001,0.2811539155698619,0.22061167084519417,38.83344644305326,39.11460035862312,0.6544814799837018,0.43471832575697317,C2_both,hgb,0.2,0.475,11373,11345,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.604,0.8175182481751825,0.835820895522388,99,0.25252525252525254,61,0.45901639344262296,0.540983606557377,33,0.21212121212121213,59,0.6101694915254238,0.38983050847457623,0.666121045864912,0.5384893113356556,33.84071671144422,34.50683775730913,0.8672730812512364,0.44387230007809936,C3_both,logistic,0.2,0.125,11493,11465,671,random,random_1,750,250,real
250,219,31,0.652,0.6802721088435374,0.8547008547008547,102,0.46078431372549017,52,0.46153846153846156,0.5384615384615384,19,0.3684210526315789,66,0.6666666666666666,0.33333333333333337,0.515663720964967,0.4043905424132501,34.29031846921945,34.80598219018441,0.8588355733834303,0.4170263123773532,C3_both,logistic,0.2,0.125,11493,11465,685,random,random_2,750,250,real
250,227,23,0.592,0.7647058823529411,0.8524590163934426,105,0.3047619047619048,65,0.49230769230769234,0.5076923076923077,34,0.20588235294117646,60,0.6,0.4,0.6378624776880818,0.5088220927848448,34.13535826605321,34.773220743741284,0.8598305708255375,0.43901027837375073,C3_both,logistic,0.2,0.15,11493,11465,677,random,random_3,750,250,real
250,210,40,0.324,0.5454545454545454,0.4235294117647059,125,0.24,250,0.324,0.6759999999999999,125,0.24,152,0.32894736842105265,0.6710526315789473,0.05471761665776373,0.023940859729259557,41.996655378489706,42.05137299514747,0.2686921461962732,0.14182537501326858,C3_both,logistic,0.2,0.125,11493,11465,694,official_strength_heldout,test_strong_official,750,250,real
250,208,42,0.436,0.5869565217391305,0.574468085106383,114,0.3333333333333333,210,0.40476190476190477,0.5952380952380952,101,0.3465346534653465,162,0.4444444444444444,0.5555555555555556,0.18518770844437737,0.12425097661831681,41.507470099469764,41.69265780791414,0.5889846109881878,0.34603298844788,C3_both,logistic,0.2,0.125,11493,11465,696,cr_strength_heldout,test_strong_cr,750,250,real
250,217,33,0.54,0.6923076923076923,0.6585365853658537,94,0.3829787234042553,152,0.47368421052631576,0.5263157894736843,68,0.35294117647058826,250,0.54,0.45999999999999996,0.2742485691705649,0.21223848850149765,38.83344644305326,39.10769501222383,0.6384069347579959,0.22949544761978047,C3_both,logistic,0.2,0.15,11493,11465,687,residual_low_energy_heldout,test_residual_low,750,250,real
250,233,17,0.16,0.8157894736842105,0.23134328358208955,99,0.0707070707070707,61,0.01639344262295082,0.9836065573770492,33,0.030303030303030304,59,0.0847457627118644,0.9152542372881356,0.25418922598337224,0.16490015579950099,33.84071671144422,34.09490593742759,0.3309480680845703,0.3534317079515537,C3_both,decision_tree,0.2,0.7,11493,11465,671,random,random_1,750,250,real
250,219,31,0.028,0.4,0.017094017094017096,102,0.029411764705882353,52,0.09615384615384616,0.9038461538461539,19,0.10526315789473684,66,0.09090909090909091,0.9090909090909091,0.0007156937664913698,-0.007730074606958241,34.29031846921945,34.29103416298593,0.0011919847011174966,0.15020062700470976,C3_both,decision_tree,0.2,0.775,11493,11465,685,random,random_2,750,250,real
250,227,23,0.032,0.75,0.04918032786885246,105,0.01904761904761905,65,0.015384615384615385,0.9846153846153847,34,0.029411764705882353,60,0.0,1.0,0.03062882271586801,0.004612190821348375,34.13535826605321,34.16598708876908,0.04128726652013105,0.3563552065262745,C3_both,decision_tree,0.2,0.875,11493,11465,677,random,random_3,750,250,real
